in.county	lt_05	05_to_10	10_to_15	15_to_20	20_to_25	25_to_30	30_to_35	35_to_40	gt_40
G4803150	0	0	4.25	44.18	93.3525	175.25	335.1325	507.105	1421.0075
G4803170	0	0	4.4225	40.6125	138.38	170.8925	405.7875	605.4075	1548.9175
G4803190	0	0	2.125	29.0025	191.4375	324.4975	515.3	505.5425	1266.74
G4803210	0	0	0	0	3.335	67.4375	216.5775	308.95	890.7675
G4803230	0	0	0	0	0	0	20.635	134.2925	1054.0225
G4803250	0	0	0	0	15.4125	60.1875	229.8	344.17	1243.3975
G4803270	0	0	2.125	29.0025	191.4375	324.4975	515.3	505.5425	1266.74
G4803290	0	0	4.4225	40.6125	138.38	170.8925	405.7875	605.4075	1548.9175
G4803310	0	0	14.98	58.245	185.9525	294.545	350.6375	404.965	1206.005
G4803330	0	0	0	0	56.9925	250.8075	333.165	561.5625	1490.58
G4803350	0	0	2.125	29.0025	191.4375	324.4975	515.3	505.5425	1266.74
G4803370	0	0	24.35	48.28	129.3225	224.71	434.465	619.7425	1486.0975
G4803390	0	0	0	0	0	6.175	119.8725	255.785	1192.9425
G4803410	7.74	68.735	122.625	353.0625	567.7	954.3125	989.2575	799.71	1661.54
G4803430	0	0	0	0	43.75	89.59	289.2625	557.4875	1621.8625
G4803450	0	14.52	19.785	97.5875	132.725	305.08	514.3675	800.2075	1763.995
G4803470	0	0	19.35	55.9625	139.46	322.7175	422.3625	378.73	1198.4275
G4803490	0	0	19.635	31.7575	81.4025	167.085	168.2925	400.1675	1302.2025
G4803510	0	0	0	0	6.8425	81.125	233.9025	403.3425	1238.8175
G4803530	0	56.79	198.4425	185.1325	270.9625	259.78	320.6375	529.9125	1443.115
G4803550	0	0	0	0	0	0	3.9	51.6325	629.1275
G4803570	0	25.8575	77.91	156.305	414.955	577	855.1425	777.355	1680.3175
G4803590	0	25.8575	77.91	156.305	414.955	577	855.1425	777.355	1680.3175
G4803610	0	0	0	0	0	32.7525	97.4925	282.995	1152.3725
G4803630	0	0	0	0	56.9925	250.8075	333.165	561.5625	1490.58
G4803650	0	0	4.25	44.18	93.3525	175.25	335.1325	507.105	1421.0075
G4803670	0	0	2.095	60.1225	44.3575	62.2075	200.435	398.15	1567.3575
G4803690	5.15	23.725	97.7625	303.4975	513.2225	639.7425	769.7725	823.615	1722.2375
G4803710	0	0	8.575	81.5775	136.15	226.995	303.535	475.9975	1488.825
G4803730	0	0	0	17.43	48.1	78.7575	203.2325	413.965	1385.4525
G4803750	0	25.8575	77.91	156.305	414.955	577	855.1425	777.355	1680.3175
G4803770	35.4475	33.245	75.49	67.195	136.395	282.07	490.4975	696.095	1888.305
G4803790	0	0	0	75.72	265.42	347.435	519.155	444.255	1317.0875
G4803810	0	25.8575	77.91	156.305	414.955	577	855.1425	777.355	1680.3175
G4803830	0	0	2.125	29.0025	191.4375	324.4975	515.3	505.5425	1266.74
G4803850	0	0	0	0	15.4125	60.1875	229.8	344.17	1243.3975
G4803870	0	19.1075	27.7525	151.95	223.8575	321.7125	488.63	606.88	1450.845
G4803890	0	0	8.575	81.5775	136.15	226.995	303.535	475.9975	1488.825
G4803910	0	0	0	0	0	0	5.11	44.485	720.405
G4803930	0	25.8575	77.91	156.305	414.955	577	855.1425	777.355	1680.3175
G4803950	0	0	0	9.4325	22.285	42.955	178.105	290.7125	1321.7725
G4803970	0	0	0	75.72	265.42	347.435	519.155	444.255	1317.0875
G4803990	0	0	2.125	29.0025	191.4375	324.4975	515.3	505.5425	1266.74
G4804010	0	0	0	0	3.335	111.9775	282.9725	369.72	1636.985
G4804030	0	0	0	17.43	48.1	78.7575	203.2325	413.965	1385.4525
G4804050	0	0	19.35	55.9625	139.46	322.7175	422.3625	378.73	1198.4275
G4804070	0	0	0	0	20.82	34.255	142.11	303.3	1185.96
G4804090	0	0	0	0	0	7.835	21.5725	104.275	995.1325
G4804110	0	0	0	0	56.9925	250.8075	333.165	561.5625	1490.58
G4804130	0	0	2.125	29.0025	191.4375	324.4975	515.3	505.5425	1266.74
G4804150	0	56.79	198.4425	185.1325	270.9625	259.78	320.6375	529.9125	1443.115
G4804170	0	56.79	198.4425	185.1325	270.9625	259.78	320.6375	529.9125	1443.115
G4804190	0	0	19.35	55.9625	139.46	322.7175	422.3625	378.73	1198.4275
G4804210	7.74	68.735	122.625	353.0625	567.7	954.3125	989.2575	799.71	1661.54
G4804230	0	0	0	7.51	74.815	181.255	312.1375	499.3075	1480.72
G4804250	0	0	2.095	60.1225	44.3575	62.2075	200.435	398.15	1567.3575
G4804270	0	0	0	0	0	1.5025	12.5025	69.08	870.21
G4804290	0	0	0	0	56.9925	250.8075	333.165	561.5625	1490.58
G4804310	0	0	2.125	29.0025	191.4375	324.4975	515.3	505.5425	1266.74
G4804330	0	56.79	198.4425	185.1325	270.9625	259.78	320.6375	529.9125	1443.115
G4804350	0	0	2.125	29.0025	191.4375	324.4975	515.3	505.5425	1266.74
G4804370	0	25.8575	77.91	156.305	414.955	577	855.1425	777.355	1680.3175
G4804390	0	0	0	11.565	56.625	86.5025	287.9825	590.0975	1905.96
G4804410	0	56.79	198.4425	185.1325	270.9625	259.78	320.6375	529.9125	1443.115
G4804430	35.4475	33.245	75.49	67.195	136.395	282.07	490.4975	696.095	1888.305
G4804450	0	12.0425	50.2325	166.735	305.69	334.8925	592.955	849.0775	1534.3175
G4804470	0	2.335	13.29	63.23	217.875	325.0025	403.3875	563.35	1589.225
G4804490	0	19.1075	27.7525	151.95	223.8575	321.7125	488.63	606.88	1450.845
G4804510	0	0	2.125	29.0025	191.4375	324.4975	515.3	505.5425	1266.74
G4804530	0	0	0	71.185	85.93	51.5775	93.8925	352.74	1293.8125
G4804550	0	0	0	17.43	48.1	78.7575	203.2325	413.965	1385.4525
G4804570	0	0	0	17.43	48.1	78.7575	203.2325	413.965	1385.4525
G4804590	0	0	0	0	3.335	111.9775	282.9725	369.72	1636.985
G4804610	0	0	4.4225	40.6125	138.38	170.8925	405.7875	605.4075	1548.9175
G4804630	0	0	0	0	15.4125	60.1875	229.8	344.17	1243.3975
G4804650	0	0	0	0	0	1.54	45.13	244.69	1282.22
G4804670	0	0	0	7.51	74.815	181.255	312.1375	499.3075	1480.72
G4804690	0	0	0	0	22.6375	43.5925	85.53	224.7975	1124.5275
G4804710	0	0	0	0	0	6.175	119.8725	255.785	1192.9425
G4804730	0	0	0	0	0	6.175	119.8725	255.785	1192.9425
G4804750	0	0	8.575	81.5775	136.15	226.995	303.535	475.9975	1488.825
G4804770	0	0	0	9.4325	22.285	42.955	178.105	290.7125	1321.7725
G4804790	0	0	0	0	0	33.6625	104.57	243.3	1003.705
G4804810	0	0	0	0	3.335	67.4375	216.5775	308.95	890.7675
G4804830	0	25.8575	77.91	156.305	414.955	577	855.1425	777.355	1680.3175
G4804850	0	2.335	13.29	63.23	217.875	325.0025	403.3875	563.35	1589.225
G4804870	0	14.52	19.785	97.5875	132.725	305.08	514.3675	800.2075	1763.995
G4804890	0	0	0	0	0	0	0	30.685	712.2525
G4804910	0	0	16.8575	42.79	170.6775	278.195	257.3625	427.04	1167.56
G4804930	0	0	0	7.5925	45.915	181.465	303.395	329.8725	1114.61
G4804950	0	0	8.575	81.5775	136.15	226.995	303.535	475.9975	1488.825
G4804970	0	0	24.35	48.28	129.3225	224.71	434.465	619.7425	1486.0975
G4804990	0	0	0	7.51	74.815	181.255	312.1375	499.3075	1480.72
G4805010	0	12.0425	50.2325	166.735	305.69	334.8925	592.955	849.0775	1534.3175
G4805030	0	0	0	0	56.9925	250.8075	333.165	561.5625	1490.58
G4805050	0	0	0	0	0	33.6625	104.57	243.3	1003.705
G4805070	0	0	0	0	12.115	24.3925	77.1225	130.5375	962.0025
G4900010	122.2575	98.36	269.0225	450.85	512.6175	587.2125	1107.705	1088.9475	1848.515
G4900030	31.215	152.4325	249.79	426.165	760.355	925.9325	1380.0625	1344.59	1817.6675
G4900050	31.215	152.4325	249.79	426.165	760.355	925.9325	1380.0625	1344.59	1817.6675
G4900070	46.8	138.445	487.8975	857.7925	827.8725	911.33	1151.4375	974.29	1671.3575
G4900090	544.335	234.77	532.8975	914.395	947.905	1071.5625	1273.1575	1062.875	1734.245
G4900110	0	59.8225	222.9375	393.515	536.32	893.34	1257.66	1169.8425	1690.76
G4900130	46.8	138.445	487.8975	857.7925	827.8725	911.33	1151.4375	974.29	1671.3575
G4900150	46.8	138.445	487.8975	857.7925	827.8725	911.33	1151.4375	974.29	1671.3575
G4900170	657.165	456.235	732.3075	1098.8975	1283.315	1142.805	1216.74	1082.965	1559.155
G4900190	0	0	83.345	431.66	652.4	590.7025	886.09	934.8375	1765.335
G4900210	122.2575	98.36	269.0225	450.85	512.6175	587.2125	1107.705	1088.9475	1848.515
G4900230	0	28.2975	80.275	207.73	492.825	872.6775	1251.7	1320.0475	1833.2375
G4900250	657.165	456.235	732.3075	1098.8975	1283.315	1142.805	1216.74	1082.965	1559.155
G4900270	12.8225	61.2425	246.485	404.23	696.4425	829.995	1008.97	1074.33	2054.995
